FIPSSTCO,GISJOIN,STATE,COUNTY,CO_ABBR,Y1890,Y1900,Y1910,Y1920,Y1930,Y1940,Y1950,Y1960,Y1970,Y1980,Y1990,Y2000,Y2010,YR_MAX,AMT_MAX,LOST,POP_LOST,LABEL,SPACER
20001,G2000010,Kansas,Allen,AL,13509,19507,27640,23509,21391,19874,18187,16369,15043,15654,14638,14385,13371,1910,27640,-14269,14269,AL--1910,--
20003,G2000030,Kansas,Anderson,AN,14203,13938,13829,12986,13355,11658,10267,9035,8501,8749,7803,8110,8102,1890,14203,-6101,6101,AN--1890,--
20005,G2000050,Kansas,Atchison,AT,26758,28606,28107,23411,23945,22222,21496,20898,19165,18397,16932,16774,16924,1900,28606,-11682,11682,AT--1900,--
20007,G2000070,Kansas,Barber,BA,7973,6594,9916,9739,10178,9073,8521,8713,7016,6548,5874,5307,4861,1930,10178,-5317,5317,BA--1930,--
20009,G2000090,Kansas,Barton,BT,13172,13784,17876,18422,19776,25010,29909,32368,30663,31343,29382,28205,27674,1960,32368,-4694,4694,BT--1960,--
20011,G2000110,Kansas,Bourbon,BB,28575,24712,24007,23198,22386,20944,19153,16090,15215,15969,14966,15379,15173,1890,28575,-13402,13402,BB--1890,--
20013,G2000130,Kansas,Brown,BR,20319,22369,21314,20949,20553,17395,14651,13229,11685,11955,11128,10724,9984,1900,22369,-12385,12385,BR--1900,--
20015,G2000150,Kansas,Butler,BU,24055,23363,23059,43842,35904,32013,31001,38395,38658,44782,50580,59482,65880,2010,65880,0,0,BU--2010,--
20017,G2000170,Kansas,Chase,CS,8233,8246,7527,7144,6952,6345,4831,3921,3408,3309,3021,3030,2790,1900,8246,-5456,5456,CS--1900,--
20019,G2000190,Kansas,Chautauqua,CQ,12297,11804,11429,11598,10352,9233,7376,5956,4642,5016,4407,4359,3669,1890,12297,-8628,8628,CQ--1890,--
20021,G2000210,Kansas,Cherokee,CK,27770,42694,38162,33609,31457,29817,25144,22279,21549,22304,21374,22605,21603,1900,42694,-21091,21091,CK--1900,--
20023,G2000230,Kansas,Cheyenne,CN,4401,2640,4248,5587,6948,6221,5668,4708,4256,3678,3243,3165,2726,1930,6948,-4222,4222,CN--1930,--
20025,G2000250,Kansas,Clark,CA,2357,1701,4093,4989,4796,4081,3946,3396,2896,2599,2418,2390,2215,1920,4989,-2774,2774,CA--1920,--
20027,G2000270,Kansas,Clay,CY,16146,15833,15251,14365,14556,13281,11697,10675,9890,9802,9158,8822,8535,1890,16146,-7611,7611,CY--1890,--
