County,Region,Year,Population
Cheyenne,1,1890,4401
Cheyenne,1,1900,2640
Cheyenne,1,1910,4248
Cheyenne,1,1920,5587
Cheyenne,1,1930,6948
Cheyenne,1,1940,6221
Cheyenne,1,1950,5668
Cheyenne,1,1960,4708
Cheyenne,1,1970,4256
Cheyenne,1,1980,3678
Cheyenne,1,1990,3243
Cheyenne,1,2000,3165
Cheyenne,1,2010,2726
Greeley,1,1890,1264
Greeley,1,1900,493
Greeley,1,1910,1335
Greeley,1,1920,1028
Greeley,1,1930,1712
Greeley,1,1940,1638
Greeley,1,1950,2010
Greeley,1,1960,2087
Greeley,1,1970,1819
Greeley,1,1980,1845
Greeley,1,1990,1774
Greeley,1,2000,1534
Greeley,1,2010,1247
Logan,1,1890,3384
Logan,1,1900,1962
Logan,1,1910,4240
Logan,1,1920,3223
Logan,1,1930,4145
Logan,1,1940,3688
Logan,1,1950,4206
Logan,1,1960,4036
Logan,1,1970,3814
Logan,1,1980,3478
Logan,1,1990,3081
Logan,1,2000,3046
Logan,1,2010,2756
Rawlins,1,1890,6756
Rawlins,1,1900,5241
Rawlins,1,1910,6380
Rawlins,1,1920,6799
Rawlins,1,1930,7362
Rawlins,1,1940,6618
Rawlins,1,1950,5728
Rawlins,1,1960,5279
Rawlins,1,1970,4393
Rawlins,1,1980,4105
Rawlins,1,1990,3404
Rawlins,1,2000,2966
Rawlins,1,2010,2519
Scott,1,1890,1262
Scott,1,1900,1098
Scott,1,1910,3047
Scott,1,1920,3121
Scott,1,1930,3976
Scott,1,1940,3773
Scott,1,1950,4921
Scott,1,1960,5228
Scott,1,1970,5606
Scott,1,1980,5782
Scott,1,1990,5289
Scott,1,2000,5120
Scott,1,2010,4936
Sherman,1,1890,5261
Sherman,1,1900,3341
Sherman,1,1910,4549
Sherman,1,1920,5592
Sherman,1,1930,7400
Sherman,1,1940,6421
Sherman,1,1950,7373
Sherman,1,1960,6682
Sherman,1,1970,7792
Sherman,1,1980,7759
Sherman,1,1990,6926
Sherman,1,2000,6760
Sherman,1,2010,6010
Thomas,1,1890,5538
Thomas,1,1900,4112
Thomas,1,1910,5455
Thomas,1,1920,5517
Thomas,1,1930,7334
Thomas,1,1940,6425
Thomas,1,1950,7572
Thomas,1,1960,7358
Thomas,1,1970,7501
Thomas,1,1980,8451
Thomas,1,1990,8258
Thomas,1,2000,8180
Thomas,1,2010,7900
Wallace,1,1890,2468
Wallace,1,1900,1178
Wallace,1,1910,2759
Wallace,1,1920,2424
Wallace,1,1930,2882
Wallace,1,1940,2216
Wallace,1,1950,2508
Wallace,1,1960,2069
Wallace,1,1970,2215
Wallace,1,1980,2045
Wallace,1,1990,1821
Wallace,1,2000,1749
Wallace,1,2010,1485
Wichita,1,1890,1827
Wichita,1,1900,1197
Wichita,1,1910,2006
Wichita,1,1920,1856
Wichita,1,1930,2579
Wichita,1,1940,2185
Wichita,1,1950,2640
Wichita,1,1960,2765
Wichita,1,1970,3274
Wichita,1,1980,3041
Wichita,1,1990,2758
Wichita,1,2000,2531
Wichita,1,2010,2234
Finney,2,1890,4231
Finney,2,1900,3469
Finney,2,1910,6908
Finney,2,1920,7674
Finney,2,1930,11014
Finney,2,1940,10092
Finney,2,1950,15092
Finney,2,1960,16093
Finney,2,1970,18947
Finney,2,1980,23825
Finney,2,1990,33070
Finney,2,2000,40523
Finney,2,2010,36776
Grant,2,1890,1308
Grant,2,1900,422
Grant,2,1910,1087
Grant,2,1920,1087
Grant,2,1930,3092
Grant,2,1940,1946
Grant,2,1950,4638
Grant,2,1960,5269
Grant,2,1970,5961
Grant,2,1980,6977
Grant,2,1990,7159
Grant,2,2000,7909
Grant,2,2010,7829
Hamilton,2,1890,2027
Hamilton,2,1900,1426
Hamilton,2,1910,3360
Hamilton,2,1920,2586
Hamilton,2,1930,3328
Hamilton,2,1940,2645
Hamilton,2,1950,3696
Hamilton,2,1960,3144
Hamilton,2,1970,2747
Hamilton,2,1980,2514
Hamilton,2,1990,2388
Hamilton,2,2000,2670
Hamilton,2,2010,2690
Haskell,2,1890,1077
Haskell,2,1900,457
Haskell,2,1910,993
Haskell,2,1920,1455
Haskell,2,1930,2805
Haskell,2,1940,2088
Haskell,2,1950,2606
Haskell,2,1960,2990
Haskell,2,1970,3672
Haskell,2,1980,3814
Haskell,2,1990,3886
Haskell,2,2000,4307
Haskell,2,2010,4256
Kearny,2,1890,1571
Kearny,2,1900,1107
